聳肩女	sung2 gin1 neoi5
攤手女	taan1 sau2 neoi5
聳肩	sung2 gin1
攤手	taan1 sau2
聳肩男	sung2 gin1 naam4
攤手男	taan1 sau2 naam4
撅嘴女	kyut3 zeoi2 neoi5
撅嘴	kyut3 zeoi2
撅嘴男	kyut3 zeoi2 naam4
皺眉女	zau3 mei4 neoi5
皺眉	zau3 mei4
皺眉男	zau3 mei4 naam4
理髮女	lei5 faat3 neoi5
剪髮女	zin2 faat3 neoi5
理髮	lei5 faat3
剪髮	zin2 faat3
飛髮	fei1 faat3
理髮男	lei5 faat3 naam4
剪髮男	zin2 faat3 naam4
按摩女	on3 mo1 neoi5
按摩	on3 mo1
按摩男	on3 mo1 naam4
焗桑拿女	guk6 song1 naa4 neoi5
蒸桑拿女	zing1 song1 naa4 neoi5
焗桑拿	guk6 song1 naa4
蒸桑拿	zing1 song1 naa4
焗桑拿男	guk6 song1 naa4 naam4
蒸桑拿男	zing1 song1 naa4 naam4
美甲	mei5 gaap3
自拍	zi6 paak3
舞女	mou5 neoi2
舞蹈	mou5 dou6
跳舞	tiu3 mou5
舞蹈家	mou5 dou6 gaa1
女舞蹈家	neoi5 mou5 dou6 gaa1
男舞蹈家	naam4 mou5 dou6 gaa1
兔女郎	tou3 neoi5 long4
雙兔人	soeng1 tou3 jan4
雙兔男	soeng1 tou3 naam4
懸浮西裝男	jyun4 fau4 sai1 zong1 naam4
輪椅女	leon4 ji2 neoi5
坐輪椅	co5 leon4 ji2
輪椅人	leon4 ji2 jan4
輪椅	leon4 ji2
輪椅男	leon4 ji2 naam4
電動輪椅女	din6 dung6 leon4 ji2 neoi5
電動輪椅	din6 dung6 leon4 ji2
坐電動輪椅	co5 din6 dung6 leon4 ji2
電動輪椅男	din6 dung6 leon4 ji2 naam4
女行人	neoi5 hang4 jan4
行人	hang4 jan4
路人	lou6 jan4
男行人	naam4 hang4 jan4
手杖女	sau2 zoeng2 neoi5
手杖	sau2 zoeng2
手杖男	sau2 zoeng2 naam4
跪地女	gwai6 dei6 neoi5
下跪女	haa6 gwai6 neoi5
跪地	gwai6 dei6
下跪	haa6 gwai6
跪地男	gwai6 dei6 naam4
下跪男	haa6 gwai6 naam4
跑步女	paau2 bou6 neoi5
跑步	paau2 bou6
跑步男	paau2 bou6 naam4
站立女	zaam6 lap6 neoi5
站立	zaam6 lap6
企	kei5
站立男	zaam6 laap6 naam4
手拖手	sau2 to1 sau2
拖手	to1 sau2
牽手	hin1 sau2
手牽手	sau2 hin1 sau2
姊妹	zi2 mui6
姊妹	zi2 mui2
姐妹	ze2 mui6
情侶	cing4 leoi5
戀人	lyun2 jan4
相愛	soeng1 oi3
相戀	soeng1 lyun2
閨蜜	gwai1 mat6
百合	baak3 hap6
女同性戀	neoi5 tung4 sing3 lyun2
女同	neoi5 tung4
拉拉	laai1 laai1
相愛人	soeng1 oi3 jan4
男同性戀	naam4 tung4 sing3 lyun2
男同	naam4 tung4
基佬	gei1 lou2
親吻	can1 man5
相吻	soeng1 man5
親吻女	can1 man5 neoi5
相吻女	soeng1 man5 neoi5
親吻人	can1 man5 jan4
相吻人	soeng1 man5 jan4
親吻男	can1 man5 naam4
相吻男	soeng1 man5 naam4
父母子	fu6 mou5 zi2
一家三口	jat1 gaa1 saam1 hau2
三口之家	saam1 hau2 zi1 gaa1
父母女	fu6 mou5 neoi5
父母子女	fu6 mou5 zi2 neoi5
父母兒女	fu6 mou5 ji4 neoi5
父母仔女	fu6 mou5 zai2 neoi2
兒女雙全	ji4 neoi5 soeng1 cyun4
一家四口	jat1 gaa1 sei3 hau2
四口之家	sei3 hau2 zi1 gaa1
父母子子	fu6 mou5 zi2 zi2
父母女女	fu6 mou5 neoi5 neoi5
母母子	mou5 mou5 zi2
母母女	mou5 mou5 neoi5
母母子女	mou5 mou5 zi2 neoi5
母母兒女	mou5 mou5 ji4 neoi5
母母子子	mou5 mou5 zi2 zi2
母母女女	mou5 mou5 neoi5 neoi5
父父子	fu6 fu6 zi2
父父女	fu6 fu6 neoi5
父父子女	fu6 fu6 zi2 neoi5
父父兒女	fu6 fu6 ji4 neoi5
父父子子	fu6 fu6 zi2 zi2
父父女女	fu6 fu6 neoi5 neoi5
母子	mou5 zi2
仔乸	zai2 naa2
母女	mou5 neoi5
母子女	mou5 zi2 neoi5
母子子	mou5 zi2 zi2
母女女	mou5 neoi5 neoi5
父子	fu6 zi2
父女	fu6 neoi5
父子女	fu6 zi2 neoi5
父子子	fu6 zi2 zi2
父女女	fu6 neoi5 neoi5
結	git3
繩結	sing4 git3
毛線	mou4 sin3
毛線團	mou4 sin3 tyun4
線團	sin3 tyun4
線	sin3
線軸	sin3 zuk6
線輪	sin3 leon4
縫衣針	fung4 ji1 zam1
針	zam1
針線	zam1 sin3
外套	ngoi6 tou3
大衣	daai6 ji1
風衣	fung1 ji1
風褸	fung1 lau1
實驗服	sat6 jim6 fuk6
實驗袍	sat6 jim6 pou4
白大褂	baak6 daai6 gwaa3
護士服	wu6 si6 fuk6
護士袍	wu6 si6 pou4
救生服	gau3 sang1 fuk6
救生衣	gau3 sang1 ji1
女裝	neoi5 zong1
男裝	naam4 zong1
牛仔褲	ngau4 zai2 fu3
褲	fu3
長褲	coeng4 fu3
底褲	dai2 fu3
內褲	noi6 fu3
三分褲	saam1 fan1 fu3
短褲	dyun2 fu3
襯衣	can3 ji1
襯衫	can3 saam1
裇衫	seot1 saam1
