鴉	aa1
草碼零	cou2 maa5 ling4
草碼六	cou2 maa5 luk6
草碼五	cou2 maa5 ng5
草碼三	cou2 maa5 saam1
草碼十	cou2 maa5 sap6
草碼四	cou2 maa5 sei3
草苗	cou2 miu4
草帽	cou2 mou6
草莓	cou2 mui4
草芽	cou2 ngaa4
草字頭	cou2 zi6 tau4
醋	cou3
醋酸	cou3 syun1
觸角手勢	cuk1 gok3 sau2 sai3
蹴鞠	cuk1 guk1
促織	cuk1 zik1
沖涼	cung1 loeng4
衝浪	cung1 long6
衝浪男	cung1 long6 naam4
衝浪女	cung1 long6 neoi5
聰明	cung1 ming4
銃	cung3
銃械	cung3 haai6
松	cung4
蟲	cung4
重疊結構	cung4 dip6 git3 gau3
重疊結構	cung4 dip6 git3 kau3
松木	cung4 muk6
松鼠	cung4 syu2
松樹	cung4 syu6
處女座	cyu2 neoi5 zo6
廚師	cyu4 si1
儲存	cyu5 cyun4
全包圍	cyun4 baau1 wai4
全包圍結構	cyun4 baau1 wai4 git3 gau3
全包圍結構	cyun4 baau1 wai4 git3 kau3
存檔盒	cyun4 dong2 hap6
傳呼機	cyun4 fu1 gei1
全寬中點	cyun4 fun1 zung1 dim2
全球	cyun4 kau4
傳信	cyun4 seon3
傳信箱	cyun4 seon3 soeng1
傳真	cyun4 zan1
傳真機	cyun4 zan1 gei1
打邊爐	daa2 bin1 lou4
打波	daa2 bo1
打電話	daa2 din6 waa2
打鼓	daa2 gu2
打乞嗤	daa2 hat1 ci1
打印	daa2 jan3
打印機	daa2 jan3 gei1
打拳	daa2 kyun2
打拳	daa2 kyun4
打籃球	daa2 laam4 kau4
打牌	daa2 paai2
打牌	daa2 paai4
打撲克	daa2 pok3 hak1
打針	daa2 zam1
打字	daa2 zi6
打招呼	daa2 ziu1 fu1
打坐	daa2 zo6
打坐男	daa2 zo6 naam4
打坐女	daa2 zo6 neoi5
歹徒	daai2 tou4
戴口罩	daai3 hau2 zaau3
戴帽	daai3 mou6
戴眼鏡	daai3 ngaan5 geng2
戴眼鏡	daai3 ngaan5 geng3
戴頭巾	daai3 tau4 gan1
大白菜	daai6 baak6 coi3
大笨象	daai6 ban6 zoeng6
大不列顛	daai6 bat1 lit6 din1
大餅	daai6 beng2
大便	daai6 bin6
大暴雨	daai6 bou6 jyu5
大蟲	daai6 cung4
大廚	daai6 cyu2
大廚	daai6 cyu4
大跌	daai6 dit3
大雕	daai6 diu1
大夫	daai6 fu1
大楷	daai6 gaai1
大喫一驚	daai6 hek3 jat1 geng1
大韓民國	daai6 hon4 man4 gwok3
大哭	daai6 huk1
大熊貓	daai6 hung4 maau1
大音量	daai6 jam1 loeng6
大衣	daai6 ji1
大英帝國	daai6 jing1 dai3 gwok3
大於等於	daai6 jyu1 dang2 jyu1
大於或等於	daai6 jyu1 waak6 dang2 jyu1
大雨	daai6 jyu5
大橋	daai6 kiu4
大蠊	daai6 lim4
大馬	daai6 maa5
大拇指	daai6 mou5 zi2
大霧	daai6 mou6
大腦	daai6 nou5
大腦爆炸	daai6 nou5 baau3 zaa3
大寫	daai6 se2
大寫百	daai6 se2 baak3
大寫八	daai6 se2 baat3
大寫七	daai6 se2 cat1
大寫千	daai6 se2 cin1
大寫伽瑪	daai6 se2 gaa1 maa5
大寫九	daai6 se2 gau2
大寫一	daai6 se2 jat1
大寫二	daai6 se2 ji6
大寫〇	daai6 se2 ling4
大寫六	daai6 se2 luk6
大寫五	daai6 se2 ng5
大寫派	daai6 se2 paai3
大寫三	daai6 se2 saam1
大寫十	daai6 se2 sap6
大寫四	daai6 se2 sei3
大寫鎖定	daai6 se2 so2 ding6
大寫字母	daai6 se2 zi6 mou5
大猩猩	daai6 sing1 sing1
大笑貓	daai6 siu3 maau1
大蒜	daai6 syun3
大頭菜	daai6 tau4 coi3
大頭釘	daai6 tau4 deng1
大頭釘	daai6 tau4 ding1
大頭蝦	daai6 tau4 haa1
大肚	daai6 tou5
大肚婆	daai6 tou5 po2
