鴉	aa1
外星人	ngoi6 sing1 jan4
外套	ngoi6 tou3
外匯	ngoi6 wui6
樂	ngok6
鱷	ngok6
愕然	ngok6 jin4
鱷魚	ngok6 jyu4
鱷梨	ngok6 lei4
樂譜	ngok6 pou2
念珠	nim6 zyu1
檸檬	ning4 mung1
擰頭	ning6 tau4
捏	nip6
鳥	niu5
鳥巢	niu5 caau4
鳥蛋	niu5 daan6
鳥頭	niu5 tau4
挪威	no4 wai1
內褲	noi6 fu3
諾福克島	nok6 fuk1 hak1 dou2
惱	nou5
腦	nou5
腦部	nou5 bou6
瑙魯	nou5 lou5
怒	nou6
農夫車	nung4 fu1 ce1
農民	nung4 man4
農戶	nung4 wu6
埃	oi1
埃塞俄比亞	oi1 coi3 ngo4 bei2 aa3
埃及	oi1 kap6
哀求	oi1 kau4
愛情旅館	oi3 cing4 leoi5 gun2
愛爾蘭	oi3 ji5 laan4
愛你	oi3 nei5
愛你手勢	oi3 nei5 sau2 sai3
愛沙尼亞	oi3 saa1 nei4 aa3
愛心	oi3 sam1
愛心禮物	oi3 sam1 lai5 mat6
愛心手勢	oi3 sam1 sau2 sai3
惡頂	ok3 ding2
惡鬼	ok3 gwai2
惡人	ok3 jan4
惡魔	ok3 mo1
惡魔之眼	ok3 mo1 zi1 ngaan5
惡鳥	ok3 niu5
噁心	ok3 sam1
安全帽	on1 cyun4 mou6
安道爾	on1 dou6 ji5
安哥拉	on1 go1 laai1
安圭拉	on1 gwai1 laai1
安南	on1 naam4
安提瓜及巴布達	on1 tai4 gwaa1 kap6 baa1 bou3 daat6
按摩	on3 mo1
澳	ou3
澳大利亞	ou3 daai6 lei6 aa3
奧地利	ou3 dei6 lei6
奧蘭羣島	ou3 laan4 kwan4 dou2
奧姆	ou3 mou5
澳門	ou3 mun2
澳門	ou3 mun4
澳洲	ou3 zau1
爬行動物	paa4 hang4 dung6 mat6
派	paai3
牌	paai4
排球	paai4 kau4
泊車	paak3 ce1
拍戲	paak3 hei3
帕勞	paak3 lou4
拍片	paak3 pin2
拍攝	paak3 sip3
攀巖	paan1 ngaam4
攀巖男	paan1 ngaam4 naam4
攀巖女	paan1 ngaam4 neoi5
棒球	paang5 kau4
棒球帽	paang5 kau4 mou6
棒棒糖	paang5 paang5 tong2
泡	paau1
泡泡	paau1 paau1
跑	paau2
跑步	paau2 bou6
跑步男	paau2 bou6 naam4
跑步女	paau2 bou6 neoi5
跑馬	paau2 maa5
炮	paau3
砲	paau3
豹	paau3
豹子	paau3 zi2
豹字邊	paau3 zi6 bin1
豹字旁	paau3 zi6 pong4
炮仗	paau3 zoeng2
炮竹	paau3 zuk1
刨冰	paau4 bing1
批	pai1
噴泉	pan3 cyun4
噴水池	pan3 seoi2 ci4
披薩	pei1 saat3
鄙視	pei2 si6
皮包	pei4 baau1
疲憊	pei4 bei6
皮特肯	pei4 dak6 hang2
皮膚	pei4 fu1
皮鞋	pei4 haai4
皮卡	pei4 kaa1
皮卡車	pei4 kaa1 ce1
疲勞	pei4 lou4
皮納塔	pei4 naap6 taap3
蝙	pin1
編程	pin1 cing4
蝙蝠	pin1 fuk1
片場	pin2 coeng4
乒乓	ping1 pong1
乒乓波	ping1 pong1 bo1
乒乓球	ping1 pong1 kau4
拼圖	ping3 tou4
瓶	ping4
平底杯	ping4 dai2 bui1
平底鞋	ping4 dai2 haai4
平方	ping4 fong1
平方根	ping4 fong1 gan1
蘋果	ping4 gwo2
平成	ping4 sing4
撇	pit3
票據	piu3 geoi3
瓢蟲	piu4 cung4
破殼	po3 hok3
破殼而出	po3 hok3 ji4 ceot1
破鏈	po3 lin4
破涕爲笑	po3 tai3 wai4 siu3
破折	po3 zit3
破折號	po3 zit3 hou6
婆羅多	po4 lo4 do1
婆婆	po4 po1
婆婆	po4 po2
撲克	pok3 hak1
螃蟹	pong4 haai5
傍晚	pong4 maan5
譜	pou2
葡	pou4
蒲隆地	pou4 lung4 dei6
葡提子	pou4 tai4 zi2
葡萄	pou4 tou4
葡萄牙	pou4 tou4 ngaa4
葡萄糖酸鋅	pou4 tou4 tong4 syun1 san1
葡萄酒	pou4 tou4 zau2
泡	pou5
抱抱	pou5 pou5
泡泡	pou5 pou5
培根	pui4 gan1
培養皿	pui4 joeng5 ming5
盆景	pun4 ging2
蟠桃	pun4 tou4
盆栽	pun4 zoi1
潑	put3
潑濺	put3 zin3
鯊	saa1
沙冰	saa1 bing1
沙鏟	saa1 caan2
沙槌	saa1 ceoi4
砂槌	saa1 ceoi4
沙特	saa1 dak6
沙特阿拉伯	saa1 dak6 aa3 laai1 baak3
沙地阿拉伯	saa1 dei6 aa3 laai1 baak3
沙發	saa1 faat3
沙薑	saa1 goeng1
鯊魚	saa1 jyu4
沙拉	saa1 laai1
紗麗	saa1 lai6
沙漏	saa1 lau6
沙律	saa1 leot2
沙律	saa1 leot6
沙漠	saa1 mok6
沙灘	saa1 taan1
沙灘傘	saa1 taan1 saan3
沙灘遮	saa1 taan1 ze1
砂鍋	saa1 wo1
沙烏地阿拉伯	saa1 wu1 dei6 aa3 laai1 baak3
三	saam1
衫	saam1
三不猴	saam1 bat1 hau4
三叉戟	saam1 caa1 gik1
三次方	saam1 ci3 fong1
三次方根	saam1 ci3 fong1 gan1
三次根	saam1 ci3 gan1
三次根號	saam1 ci3 gan1 hou6
三重積分	saam1 cung4 zik1 fan1
三點	saam1 dim2
三點半	saam1 dim2 bun3
三點水	saam1 dim2 seoi2
三點正	saam1 dim2 zing3
三點裝	saam1 dim2 zong1
三點鐘	saam1 dim2 zung1
三分褲	saam1 fan1 fu3
三分之一	saam1 fan6 zi1 jat1
三分之二	saam1 fan6 zi1 ji6
三鍵	saam1 gin6
三角	saam1 gok3
三角尺	saam1 gok3 cek3
三角豆餅	saam1 gok3 dau6 beng2
三角形	saam1 gok3 jing4
三角旗	saam1 gok3 kei4
三口之家	saam1 hau2 zi1 gaa1
三葉草	saam1 jip6 cou2
三氧化二鋁	saam1 joeng5 faa3 ji6 leoi5
三氧化硫	saam1 joeng5 faa3 lau4
三氧化鎢	saam1 joeng5 faa3 wu1
三猿	saam1 jyun4
三輪車	saam1 leon4 ce1
三萬	saam1 maan6
三文治	saam1 man4 zi6
三明治	saam1 ming4 zi6
三鳥	saam1 niu5
三十	saam1 sap6
三十八	saam1 sap6 baat3
三十七	saam1 sap6 cat1
三十九	saam1 sap6 gau2
三十一	saam1 sap6 jat1
三十二	saam1 sap6 ji6
三十六	saam1 sap6 luk6
三十五	saam1 sap6 ng5
三十三	saam1 sap6 saam1
三十四	saam1 sap6 sei3
三索	saam1 sok3
三筒	saam1 tung4
三畫	saam1 waak6
三聚氰胺	saam1 zeoi6 cing4 on3
刪	saan1
山	saan1
刪除	saan1 ceoi4
刪除鍵	saan1 ceoi4 gin6
山地車	saan1 dei6 ce1
山地車男	saan1 dei6 ce1 naam4
山地車女	saan1 dei6 ce1 neoi5
山地單車	saan1 dei6 daan1 ce1
山地單車男	saan1 dei6 daan1 ce1 naam4
山地單車女	saan1 dei6 daan1 ce1 neoi5
山頂纜車	saan1 deng2 laam6 ce1
山峯	saan1 fung1
山間日出	saan1 gaan1 jat6 ceot1
閂引號	saan1 jan5 hou6
山羊	saan1 joeng4
山區火車	saan1 keoi1 fo2 ce1
山嶺	saan1 leng5
山嶺	saan1 ling5
山域治	saan1 wik6 zi6
珊瑚	saan1 wu4
珊瑚礁	saan1 wu4 ziu1
刪節	saan1 zit3
刪節號	saan1 zit3 hou6
傘	saan3
生薑	saang1 goeng1
生蠔	saang1 hou4
生日蛋糕	saang1 jat6 daan6 gou1
生日快樂	saang1 jat6 faai3 lok6
省略	saang2 loek6
省略號	saang2 loek6 hou6
薩克	saat3 hak1
薩克斯	saat3 hak1 si1
薩克斯風	saat3 hak1 si1 fung1
薩爾瓦多	saat3 ji5 ngaa5 do1
薩摩亞	saat3 mo1 aa3
哨牙	saau3 ngaa4
犀	sai1
西	sai1
西班牙	sai1 baan1 ngaa4
西部牛仔	sai1 bou6 ngau4 zai2
西瓜	sai1 gwaa1
西紅柿	sai1 hung4 ci5
西蘭花	sai1 laan4 faa1
犀利	sai1 lei6
犀牛	sai1 ngau4
西撒哈拉	sai1 saat3 haa1 laai1
西式餡餅	sai1 sik1 haam2 beng2
西字頭	sai1 zi6 tau4
西裝	sai1 zong1
洗浴	sai2 juk6
洗手間	sai2 sau2 gaan1
細楷	sai3 gaai1
世界	sai3 gaai3
細菌	sai3 kwan2
勢利	sai3 lei6
細路哥	sai3 lou2 go1
細𡀔哥	sai3 lou2 go1
細路	sai3 lou6
細𡀔	sai3 lou6
細路哥	sai3 lou6 go1
細𡀔哥	sai3 lou6 go1
細路女	sai3 lou6 neoi2
細𡀔女	sai3 lou6 neoi2
細路仔	sai3 lou6 zai2
細𡀔仔	sai3 lou6 zai2
細呅	sai3 man1
細呅仔	sai3 man1 zai2
細儂	sai3 nung4
細細聲	sai3 sai3 seng1
細聲	sai3 seng1
細聲啲	sai3 seng1 di1
心	sam1
心動	sam1 dung6
心火	sam1 fo2
深膚色	sam1 fu1 sik1
心間	sam1 gaan1
深夜	sam1 je6
心形	sam1 jing4
心形裝飾	sam1 jing4 zong1 sik1
心滿意足	sam1 mun5 ji3 zuk1
新婦	sam1 pou5
心心	sam1 sam1
心心眼	sam1 sam1 ngaan5
心心心	sam1 sam1 sam1
心心相印	sam1 sam1 soeng1 jan3
心水	sam1 seoi2
心碎	sam1 seoi3
深色膚色	sam1 sik1 fu1 sik1
深色皮膚	sam1 sik1 pei4 fu1
心傷	sam1 soeng1
心田	sam1 tin4
心跳	sam1 tiu3
心臟	sam1 zong6
心中箭	sam1 zung3 zin3
新	san1
申	san1
身份證	san1 fan2 zing3
新婦	san1 fu5
新加坡	san1 gaa1 bo1
新加坡	san1 gaa3 bo1
新幹線	san1 gon3 sin3
新喀里多尼亞	san1 haak3 lei5 do1 nei4 aa3
新月	san1 jyut6
伸脷	san1 lei6
新娘	san1 noeng4
新娘子	san1 noeng4 zi2
新婦	san1 pou5
新西蘭	san1 sai1 laan4
新手	san1 sau2
神祕	san4 bei3
神廟	san4 miu2
神廟	san4 miu6
神社	san4 se5
神探	san4 taam3
生病	sang1 beng6
生化危害	sang1 faa3 ngai4 hoi6
生氣	sang1 hei3
生物危害	sang1 mat6 ngai4 hoi6
十	sap6
十八	sap6 baat3
十七	sap6 cat1
十點	sap6 dim2
十點半	sap6 dim2 bun3
十點正	sap6 dim2 zing3
十點鐘	sap6 dim2 zung1
十分之一	sap6 fan6 zi1 jat1
十九	sap6 gau2
十鍵	sap6 gin6
十一	sap6 jat1
十一點	sap6 jat1 dim2
十一點半	sap6 jat1 dim2 bun3
十一點正	sap6 jat1 dim2 zing3
十一點鐘	sap6 jat1 dim2 zung1
十二	sap6 ji6
十二點	sap6 ji6 dim2
十二點半	sap6 ji6 dim2 bun3
十二點正	sap6 ji6 dim2 zing3
十二點鐘	sap6 ji6 dim2 zung1
十六	sap6 luk6
十五	sap6 ng5
十三	sap6 saam1
十四	sap6 sei3
十字架	sap6 zi6 gaa2
十字架	sap6 zi6 gaa3
失聰	sat1 cung1
失聰男	sat1 cung1 naam4
失聰女	sat1 cung1 neoi5
失戀	sat1 lyun2
失眠	sat1 min4
失望	sat1 mong6
室女座	sat1 neoi5 zo6
實驗服	sat6 jim6 fuk6
實驗袍	sat6 jim6 pou4
實數	sat6 sou3
羞家	sau1 gaa1
收據	sau1 geoi3
收件箱	sau1 gin6 soeng1
收音機	sau1 jam1 gei1
修理工	sau1 lei5 gung1
修路	sau1 lou6
收聲	sau1 seng1
收信	sau1 seon3
收信箱	sau1 seon3 soeng1
手	sau2
手臂	sau2 bei3
手錶	sau2 biu1
手背	sau2 bui3
搜尋	sau2 cam4
手槍	sau2 coeng1
手銃	sau2 cung3
手電筒	sau2 din6 tung2
手電筒	sau2 din6 tung4
手風琴	sau2 fung1 kam4
手機	sau2 gei1
手鋸	sau2 geoi3
手牽手	sau2 hin1 sau2
手向右	sau2 hoeng3 jau6
手向左	sau2 hoeng3 zo2
手印	sau2 jan3
手球	sau2 kau4
手球男	sau2 kau4 naam4
手球女	sau2 kau4 neoi5
手紋	sau2 man4
搜索	sau2 saak3
手勢一	sau2 sai3 jat1
手勢二	sau2 sai3 ji6
手勢六	sau2 sai3 luk6
手勢五	sau2 sai3 ng5
手寫	sau2 se2
手信	sau2 seon3
首先	sau2 sin1
搜索	sau2 sok3
手提	sau2 tai4
手提包	sau2 tai4 baau1
手提電腦	sau2 tai4 din6 nou5
手提電話	sau2 tai4 din6 waa2
手拖手	sau2 to1 sau2
手套	sau2 tou3
守衛	sau2 wai6
手踭	sau2 zaang1
手指	sau2 zi2
手指指	sau2 zi2 zi2
手掌	sau2 zoeng2
手杖	sau2 zoeng2
手杖	sau2 zoeng6
獸人	sau3 jan4
壽司	sau6 si1
受傷	sau6 soeng1
壽桃	sau6 tou4
寫	se2
寫代碼	se2 doi6 maa5
寫字	se2 zi6
寫作	se2 zok3
蛇	se4
蛇夫座	se4 fu1 zo6
社	se5
射	se6
射手座	se6 sau2 zo6
射箭	se6 zin3
死	sei2
死鬼咁凍	sei2 gwai2 gam3 dung3
死亡	sei2 mong4
四	sei3
四次方	sei3 ci3 fong1
四次方根	sei3 ci3 fong1 gan1
四次根	sei3 ci3 gan1
四次根號	sei3 ci3 gan1 hou6
四點	sei3 dim2
四點半	sei3 dim2 bun3
四點底	sei3 dim2 dai2
四點火	sei3 dim2 fo2
四點正	sei3 dim2 zing3
四點鐘	sei3 dim2 zung1
四分音符	sei3 fan1 jam1 fu4
四分之一	sei3 fan6 zi1 jat1
四鍵	sei3 gin6
四腳蛇	sei3 goek3 se4
四角星	sei3 gok3 sing1
四口之家	sei3 hau2 zi1 gaa1
四葉草	sei3 jip6 cou2
四氧化三鐵	sei3 joeng5 faa3 saam1 tit3
四萬	sei3 maan6
四眼	sei3 ngaan5
四眼狗	sei3 ngaan5 gau2
四眼仔	sei3 ngaan5 zai2
四十	sei3 sap6
四十八	sei3 sap6 baat3
四十七	sei3 sap6 cat1
四十九	sei3 sap6 gau2
四十一	sei3 sap6 jat1
四十二	sei3 sap6 ji6
四十六	sei3 sap6 luk6
四十五	sei3 sap6 ng5
四十三	sei3 sap6 saam1
四十四	sei3 sap6 sei3
四索	sei3 sok3
四筒	sei3 tung4
四畫	sei3 waak6
四字頭	sei3 zi6 tau4
𡃶	sek3
𡃶啖	sek3 daam6
錫克教	sek3 hak1 gaau3
𡃶你	sek3 nei5
𡃶晒你	sek3 saai3 nei5
𡃶𡃶	sek3 sek3
𡃶𡃶貓	sek3 sek3 maau1
石	sek6
石塊	sek6 faai3
石油	sek6 jau4
石龍子	sek6 lung4 zi2
石頭	sek6 tau4
石像	sek6 zoeng6
水	seoi2
水	seoi2
水獺	seoi2 caat3
水槍	seoi2 coeng1
水滴	seoi2 dik1
水稻	seoi2 dou6
水分子	seoi2 fan1 zi2
水餃	seoi2 gaau2
水狗	seoi2 gau2
水喉	seoi2 hau4
水球	seoi2 kau4
水球男	seoi2 kau4 naam4
水球女	seoi2 kau4 neoi5
水龍頭	seoi2 lung4 tau4
水蜜桃	seoi2 mat6 tou4
水母	seoi2 mou5
水牛	seoi2 ngau4
水瓶座	seoi2 ping4 zo6
水桶	seoi2 tung2
水晶球	seoi2 zing1 kau4
帥	seoi3
垂釣	seoi4 diu3
睡	seoi6
穗	seoi6
瑞典	seoi6 din2
睡覺	seoi6 gaau3
睡眼惺忪	seoi6 ngaan5 sing1 sung1
瑞士	seoi6 si6
彗星	seoi6 sing1
睡熟	seoi6 suk6
信	seon3
巽	seon3
信件	seon3 gin2
信件	seon3 gin6
巽卦	seon3 gwaa3
信號	seon3 hou6
訊號	seon3 hou6
信號燈	seon3 hou6 dang1
信用卡	seon3 jung6 kaa1
信用卡	seon3 jung6 kaat1
信用咭	seon3 jung6 kaat1
信息	seon3 sik1
信箱	seon3 soeng1
脣	seon4
純鹼	seon4 gaan2
順時針	seon6 si4 zam1
順時針方向	seon6 si4 zam1 fong1 hoeng3
順時針箭頭	seon6 si4 zam1 zin3 tau4
蟀	seot1
摔跤	seot1 gaau1
摔跤男	seot1 gaau1 naam4
摔跤女	seot1 gaau1 neoi5
摔角	seot1 gok3
摔角男	seot1 gok3 naam4
摔角女	seot1 gok3 neoi5
裇衫	seot1 saam1
獅	si1
絲帶	si1 daai2
師傅	si1 fu2
私家車	si1 gaa1 ce1
施工	si1 gung1
施工中	si1 gung1 zung1
思考	si1 haau2
思考雲	si1 haau2 wan4
私隱	si1 jan2
斯里蘭卡	si1 lei5 laan4 kaa1
斯洛伐克	si1 lok6 fat6 hak1
斯洛文尼亞	si1 lok6 man4 nei4 aa3
絲網	si1 mong1
斯威士蘭	si1 wai1 si6 laan4
獅子	si1 zi2
獅子狗	si1 zi2 gau2
獅子犬	si1 zi2 hyun2
獅子頭	si1 zi2 tau4
獅子座	si1 zi2 zo6
絲字邊	si1 zi6 bin1
絲字旁	si1 zi6 pong4
屎	si2
史上最佳	si2 soeng6 zeoi3 gaai1
試管	si3 gun2
匙	si4
時間	si4 gaan1
時間	si4 gaan3
時鐘	si4 zung1
仕	si6
士	si6
士巴拿	si6 baa1 naa2
士巴拿	si6 baa1 naa4
士的	si6 dik1
士多啤梨	si6 do1 be1 lei2
示愛	si6 oi3
示字邊	si6 zi6 bin1
示字旁	si6 zi6 pong4
色	sik1
適	sik1
熄機	sik1 gei1
蜥蜴	sik1 jik6
釋然	sik1 jin4
色拉	sik1 laai1
蟋蟀	sik1 seot1
色士風	sik1 si6 fung1
色仔	sik1 zai2
色子	sik1 zi2
食飯	sik6 faan6
食鹽	sik6 jim4
食菸	sik6 jin1
食糧	sik6 loeng4
食物	sik6 mat6
食麪	sik6 min6
食支菸	sik6 zi1 jin1
食指	sik6 zi2
食字邊	sik6 zi6 bin1
食字旁	sik6 zi6 pong4
閃電	sim2 din6
閃光	sim2 gwong1
閃光燈	sim2 gwong1 dang1
閃耀	sim2 jiu6
閃亮	sim2 loeng6
閃亮之心	sim2 loeng6 zi1 sam1
閃閃之心	sim2 sim2 zi1 sam1
鮮花	sin1 faa1
仙人掌	sin1 jan4 zoeng2
仙女	sin1 neoi2
仙女	sin1 neoi5
仙子	sin1 zi2
扇	sin3
線	sin3
扇貝	sin3 bui3
線圈簿	sin3 hyun1 bou2
線圈簿	sin3 hyun1 bou6
線圈本	sin3 hyun1 bun2
線輪	sin3 leon4
線團	sin3 tyun4
線軸	sin3 zuk6
昇	sing1
星	sing1
猩	sing1
昇調	sing1 diu6
星島	sing1 dou2
星架坡	sing1 gaa3 bo1
昇記號	sing1 gei3 hou6
星鍵	sing1 gin6
昇降機	sing1 gong3 gei1
星光	sing1 gwong1
星光熠熠	sing1 gwong1 jap1 jap1
星河	sing1 ho4
星漢	sing1 hon3
昇號	sing1 hou6
星號	sing1 hou6
星號鍵	sing1 hou6 gin6
昇音	sing1 jam1
昇音符	sing1 jam1 fu4
星形	sing1 jing4
星月符號	sing1 jyut6 fu4 hou6
星星	sing1 sing1
猩猩	sing1 sing1
星星眼	sing1 sing1 ngaan5
醒目	sing2 muk6
聖巴泰勒米島	sing3 baa1 taai3 lak6 mai5 dou2
聖誕	sing3 daan3
聖誕島	sing3 daan3 dou2
聖誕夫人	sing3 daan3 fu1 jan4
聖誕老人	sing3 daan3 lou5 jan4
聖誕樹	sing3 daan3 syu6
聖多美普林西比	sing3 do1 mei5 pou2 lam4 sai1 bei2
聖基茨及尼維斯	sing3 gei1 ci4 kap6 nei4 wai4 si1
聖赫勒拿	sing3 hak1 lak6 naa4
勝利	sing3 lei6
勝利手勢	sing3 lei6 sau2 sai3
聖盧西亞	sing3 lou4 sai1 aa3
聖馬丁島	sing3 maa5 ding1 dou2
聖馬力諾	sing3 maa5 lik6 nok6
聖文森特	sing3 man4 sam1 dak6
聖文森及格瑞那丁	sing3 man4 sam1 kap6 gaak3 seoi6 naa5 ding1
姓名卡	sing3 ming4 kaa1
姓名卡	sing3 ming4 kaat1
姓名咭	sing3 ming4 kaat1
姓名牌	sing3 ming4 paai2
聖皮埃爾及密克隆	sing3 pei4 oi1 ji5 kap6 mat6 hak1 lung4
乘	sing4
城堡	sing4 bou2
繩結	sing4 git3
乘號	sing4 hou6
成人及兒童	sing4 jan4 kap6 ji4 tung4
成人內容	sing4 jan4 noi6 jung4
乘以	sing4 ji5
承認	sing4 jing6
攝影機	sip3 jing2 gei1
攝錄	sip3 luk6
攝錄機	sip3 luk6 gei1
攝石	sip3 sek6
攝氏	sip3 si6
攝氏度	sip3 si6 dou6
攝像	sip3 zoeng6
攝像機	sip3 zoeng6 gei1
舌	sit6
舌頭	sit6 tau4
燒	siu1
燒火	siu1 fo2
消防	siu1 fong4
消防車	siu1 fong4 ce1
消防員	siu1 fong4 jyun4
燒鹼	siu1 gaan2
燒心	siu1 sam1
硝酸	siu1 syun1
硝酸鉀	siu1 syun1 gaap3
硝酸鉛	siu1 syun1 jyun4
硝酸鈣	siu1 syun1 koi3
硝酸鋰	siu1 syun1 lei5
硝酸鎂	siu1 syun1 mei5
硝酸鈉	siu1 syun1 naap6
硝酸銀	siu1 syun1 ngan4
硝酸銨	siu1 syun1 on2
硝酸鋅	siu1 syun1 san1
硝酸銅	siu1 syun1 tung4
小白鼠	siu2 baak6 syu2
小白兔	siu2 baak6 tou3
小丑	siu2 cau2
小蛋糕	siu2 daan6 gou1
小雞	siu2 gai1
小狗	siu2 gau2
小轎車	siu2 giu2 ce1
小鬼	siu2 gwai2
小孩	siu2 haai4
小黑子	siu2 hak1 zi2
小孩	siu2 hoi4
小號	siu2 hou6
小紅書	siu2 hung4 syu1
少兒不宜	siu2 ji4 bat1 ji4
小型飛機	siu2 jing4 fei1 gei1
小於等於	siu2 jyu1 dang2 jyu1
小於或等於	siu2 jyu1 waak6 dang2 jyu1
小雨	siu2 jyu5
小強	siu2 koeng4
小鹿	siu2 luk2
小鹿	siu2 luk6
小貓	siu2 maau1
小鳥	siu2 niu5
小朋友	siu2 pang4 jau5
小心	siu2 sam1
小心兒童	siu2 sam1 ji4 tung4
小寫伽瑪	siu2 se2 gaa1 maa5
小寫派	siu2 se2 paai3
小寫字母	siu2 se2 zi6 mou5
小提琴	siu2 tai4 kam4
少雲	siu2 wan4
小黃	siu2 wong2
小黃	siu2 wong4
小精靈	siu2 zing1 ling4
笑	siu3
笑口常開	siu3 hau2 soeng4 hoi1
笑哭	siu3 huk1
笑容	siu3 jung4
笑容滿面	siu3 jung4 mun5 min6
笑撚死	siu3 lan2 sei2
笑淚	siu3 leoi6
笑死	siu3 sei2
梳	so1
蔬菜	so1 coi3
梳化	so1 faa2
鎖	so2
鎖定	so2 ding6
所以	so2 ji5
鎖鏈	so2 lin4
所羅門羣島	so2 lo4 mun4 kwan4 dou2
鎖匙	so2 si4
瀡	soe4
瀡滑梯	soe4 waat6 tai1
勺仔	soek3 zai2
傷	soeng1
箱	soeng1
雙板滑雪	soeng1 baan2 waat6 syut3
雙孢蘑菇	soeng1 baau1 mo4 gu1
商標	soeng1 biu1
相似結構	soeng1 ci5 git3 gau3
相似結構	soeng1 ci5 git3 kau3
雙重積分	soeng1 cung4 zik1 fan1
相減結構	soeng1 gaam2 git3 gau3
相減結構	soeng1 gaam2 git3 kau3
雙感嘆號	soeng1 gam2 taan3 hou2
雙感嘆號	soeng1 gam2 taan3 hou6
雙肩包	soeng1 gin1 baau1
雙驚嘆號	soeng1 ging1 taan3 hou2
雙驚嘆號	soeng1 ging1 taan3 hou6
雙捲曲環	soeng1 gyun2 kuk1 waan4
雙人	soeng1 jan4
雙人旁	soeng1 jan4 pong4
雙引號	soeng1 jan5 hou6
雙耳瓶	soeng1 ji5 ping4
相擁	soeng1 jung2
雙魚座	soeng1 jyu4 zo6
雙企人	soeng1 kei5 jan2
雙企人	soeng1 kei5 jan4
雙立人	soeng1 lap6 jan4
相戀	soeng1 lyun2
相吻	soeng1 man5
相吻人	soeng1 man5 jan4
相吻男	soeng1 man5 naam4
相吻女	soeng1 man5 neoi5
相愛	soeng1 oi3
相愛人	soeng1 oi3 jan4
傷心	soeng1 sam1
雙心	soeng1 sam1
雙手	soeng1 sau2
雙手合十	soeng1 sau2 hap6 sap6
雙手向上	soeng1 sau2 hoeng3 soeng6
雙嘆號	soeng1 taan3 hou2
雙嘆號	soeng1 taan3 hou6
雙兔人	soeng1 tou3 jan4
雙兔男	soeng1 tou3 naam4
雙簧	soeng1 wong4
箱仔	soeng1 zai2
雙子座	soeng1 zi2 zo6
想嘔	soeng2 au2
想嘔咁滯	soeng2 au2 gam3 zai6
相機	soeng2 gei1
想喊	soeng2 haam3
想哭	soeng2 huk1
想喫	soeng2 jaak3
想要	soeng2 jiu3
賞月	soeng2 jyut2
賞月	soeng2 jyut6
想食	soeng2 sik6
想像	soeng2 zoeng6
想像雲	soeng2 zoeng6 wan4
相	soeng3
相機	soeng3 gei1
相聲	soeng3 sing1
常青樹	soeng4 cing1 syu6
常綠喬木	soeng4 luk6 kiu4 muk6
上	soeng5
上檔	soeng5 dong3
上課	soeng5 fo3
上鎖	soeng5 so2
上	soeng6
上包下	soeng6 baau1 haa6
上包下結構	soeng6 baau1 haa6 git3 gau3
上包下結構	soeng6 baau1 haa6 git3 kau3
上邊	soeng6 bin1
上邊	soeng6 bin6
上標八	soeng6 biu1 baat3
上標七	soeng6 biu1 cat1
上標九	soeng6 biu1 gau2
上標一	soeng6 biu1 jat1
上標二	soeng6 biu1 ji6
上標零	soeng6 biu1 ling4
上標六	soeng6 biu1 luk6
上標五	soeng6 biu1 ng5
上標三	soeng6 biu1 saam1
上標四	soeng6 biu1 sei3
上凸月	soeng6 dat6 jyut6
上方	soeng6 fong1
上高	soeng6 gou1
上下	soeng6 haa6
上下顛倒	soeng6 haa6 din1 dou2
上下顛倒結構	soeng6 haa6 din1 dou2 git3 gau3
上下顛倒結構	soeng6 haa6 din1 dou2 git3 kau3
上下結構	soeng6 haa6 git3 gau3
上下結構	soeng6 haa6 git3 kau3
上下箭頭	soeng6 haa6 zin3 tau4
上陰入	soeng6 jam1 jap6
上弦月	soeng6 jin4 jyut6
上面	soeng6 min6
上昇	soeng6 sing1
上昇箭頭	soeng6 sing1 zin3 tau4
上進	soeng6 zeon3
上指	soeng6 zi2
上箭頭	soeng6 zin3 tau4
上漲	soeng6 zoeng3
上中下	soeng6 zung1 haa6
上中下結構	soeng6 zung1 haa6 git3 gau3
上中下結構	soeng6 zung1 haa6 git3 kau3
朔	sok3
嗦啖菸	sok3 daam6 jin1
嗦粉	sok3 fan2
嗦菸	sok3 jin1
朔月	sok3 jyut6
索釦	sok3 kau3
索鏈	sok3 lin4
索馬里	sok3 maa5 lei5
索馬利亞	sok3 maa5 lei6 aa3
嗦支菸	sok3 zi1 jin1
桑拿	song1 naa4
蘇丹	sou1 daan1
蘇格蘭	sou1 gaak3 laan4
蘇蝦	sou1 haa1
蘇里南	sou1 lei5 naam4
鬚刨	sou1 paau2
蘇州碼八	sou1 zau1 maa5 baat3
蘇州碼七	sou1 zau1 maa5 cat1
蘇州碼九	sou1 zau1 maa5 gau2
蘇州碼一	sou1 zau1 maa5 jat1
蘇州碼二	sou1 zau1 maa5 ji6
蘇州碼零	sou1 zau1 maa5 ling4
蘇州碼六	sou1 zau1 maa5 luk6
蘇州碼五	sou1 zau1 maa5 ng5
蘇州碼三	sou1 zau1 maa5 saam1
蘇州碼十	sou1 zau1 maa5 sap6
蘇州碼四	sou1 zau1 maa5 sei3
掃	sou3
掃把	sou3 baa2
數簿	sou3 bou2
數簿	sou3 bou6
掃地	sou3 dei6
數號	sou3 hou6
掃帚	sou3 zau2
數字	sou3 zi6
數字符號	sou3 zi6 fu4 hou6
